Month,Trade Date,Close
Mai 2024,28.05.2024,28.04
Jun 2024,28.05.2024,33.566
Jul 2024,28.05.2024,33.913
Aug 2024,28.05.2024,34.253
Sep 2024,28.05.2024,35.215
Okt 2024,28.05.2024,36.626
Nov 2024,28.05.2024,39.486
Dez 2024,28.05.2024,40.48
Jan 2025,28.05.2024,40.991
Feb 2025,28.05.2024,40.841
Mar 2025,28.05.2024,40.157
Apr 2025,28.05.2024,38.467
Mai 2025,28.05.2024,
Mai 2024,29.05.2024,28.04
Jun 2024,29.05.2024,33.713
Jul 2024,29.05.2024,34.241
Aug 2024,29.05.2024,34.598
Sep 2024,29.05.2024,35.605
Okt 2024,29.05.2024,36.876
Nov 2024,29.05.2024,39.719
Dez 2024,29.05.2024,40.951
Jan 2025,29.05.2024,41.15
Feb 2025,29.05.2024,41.179
Mar 2025,29.05.2024,40.49
Apr 2025,29.05.2024,38.405
Mai 2025,29.05.2024,
Jun 2024,30.05.2024,34.932
Jul 2024,30.05.2024,35.271
Aug 2024,30.05.2024,35.623
Sep 2024,30.05.2024,36.488
Okt 2024,30.05.2024,37.534
Nov 2024,30.05.2024,40.547
Dez 2024,30.05.2024,41.575
Jan 2025,30.05.2024,41.509
Feb 2025,30.05.2024,41.934
Mar 2025,30.05.2024,41.231
Apr 2025,30.05.2024,39.178
Mai 2025,30.05.2024,
Jun 2024,31.05.2024,34.932
Jul 2024,31.05.2024,34.345
Aug 2024,31.05.2024,34.594
Sep 2024,31.05.2024,35.502
Okt 2024,31.05.2024,36.571
Nov 2024,31.05.2024,39.309
Dez 2024,31.05.2024,40.549
Jan 2025,31.05.2024,40.652
Feb 2025,31.05.2024,40.754
Mar 2025,31.05.2024,39.772
Apr 2025,31.05.2024,37.929
Mai 2025,31.05.2024,
Jun 2025,31.05.2024,
Jun 2024,03.06.2024,34.932
Jul 2024,03.06.2024,35.958
Aug 2024,03.06.2024,36.189
Sep 2024,03.06.2024,36.977
Okt 2024,03.06.2024,37.958
Nov 2024,03.06.2024,40.451
Dez 2024,03.06.2024,41.438
Jan 2025,03.06.2024,41.807
Feb 2025,03.06.2024,41.655
Mar 2025,03.06.2024,40.959
Apr 2025,03.06.2024,39.454
Mai 2025,03.06.2024,
Jun 2025,03.06.2024,
Jun 2024,04.06.2024,34.932
Jul 2024,04.06.2024,33.851
Aug 2024,04.06.2024,34.06
Sep 2024,04.06.2024,34.869
Okt 2024,04.06.2024,35.813
Nov 2024,04.06.2024,38.545
Dez 2024,04.06.2024,39.526
Jan 2025,04.06.2024,39.968
Feb 2025,04.06.2024,39.87
Mar 2025,04.06.2024,39.341
Apr 2025,04.06.2024,37.185
Mai 2025,04.06.2024,
Jun 2025,04.06.2024,
Jun 2024,05.06.2024,34.932
Jul 2024,05.06.2024,33.322
Aug 2024,05.06.2024,33.569
Sep 2024,05.06.2024,34.357
Okt 2024,05.06.2024,35.379
Nov 2024,05.06.2024,37.96
Dez 2024,05.06.2024,38.907
Jan 2025,05.06.2024,39.212
Feb 2025,05.06.2024,39.159
Mar 2025,05.06.2024,38.586
Apr 2025,05.06.2024,36.459
Mai 2025,05.06.2024,
Jun 2025,05.06.2024,
Jun 2024,06.06.2024,34.932
Jul 2024,06.06.2024,33.662
Aug 2024,06.06.2024,33.927
Sep 2024,06.06.2024,34.65
Okt 2024,06.06.2024,35.515
Nov 2024,06.06.2024,37.782
Dez 2024,06.06.2024,38.553
Jan 2025,06.06.2024,39.164
Feb 2025,06.06.2024,39.226
Mar 2025,06.06.2024,38.658
Apr 2025,06.06.2024,36.945
Mai 2025,06.06.2024,
Jun 2025,06.06.2024,
Jun 2024,07.06.2024,34.932
Jul 2024,07.06.2024,33.114
Aug 2024,07.06.2024,33.279
Sep 2024,07.06.2024,34.08
Okt 2024,07.06.2024,35.231
Nov 2024,07.06.2024,37.626
Dez 2024,07.06.2024,38.463
Jan 2025,07.06.2024,38.795
Feb 2025,07.06.2024,38.859
Mar 2025,07.06.2024,38.191
Apr 2025,07.06.2024,36.516
Mai 2025,07.06.2024,
Jun 2025,07.06.2024,
Jun 2024,10.06.2024,34.932
Jul 2024,10.06.2024,34.212
Aug 2024,10.06.2024,34.51
Sep 2024,10.06.2024,35.275
Okt 2024,10.06.2024,36.441
Nov 2024,10.06.2024,38.923
Dez 2024,10.06.2024,39.651
Jan 2025,10.06.2024,40.076
Feb 2025,10.06.2024,39.981
Mar 2025,10.06.2024,39.224
Apr 2025,10.06.2024,37.616
Mai 2025,10.06.2024,
Jun 2025,10.06.2024,
Jun 2024,11.06.2024,34.932
Jul 2024,11.06.2024,34.28
Aug 2024,11.06.2024,34.652
Sep 2024,11.06.2024,35.322
Okt 2024,11.06.2024,36.386
Nov 2024,11.06.2024,38.727
Dez 2024,11.06.2024,39.668
Jan 2025,11.06.2024,39.956
Feb 2025,11.06.2024,39.864
Mar 2025,11.06.2024,39.063
Apr 2025,11.06.2024,37.461
Mai 2025,11.06.2024,
Jun 2025,11.06.2024,36.35
Jun 2024,12.06.2024,34.932
Jul 2024,12.06.2024,35.339
Aug 2024,12.06.2024,35.551
Sep 2024,12.06.2024,36.298
Okt 2024,12.06.2024,37.438
Nov 2024,12.06.2024,39.683
Dez 2024,12.06.2024,40.572
Jan 2025,12.06.2024,40.627
Feb 2025,12.06.2024,40.67
Mar 2025,12.06.2024,39.582
Apr 2025,12.06.2024,37.916
Mai 2025,12.06.2024,
Jun 2025,12.06.2024,36.993
Jun 2024,13.06.2024,34.932
Jul 2024,13.06.2024,35.781
Aug 2024,13.06.2024,36.066
Sep 2024,13.06.2024,36.822
Okt 2024,13.06.2024,37.739
Nov 2024,13.06.2024,39.898
Dez 2024,13.06.2024,40.782
Jan 2025,13.06.2024,41.048
Feb 2025,13.06.2024,41.009
Mar 2025,13.06.2024,40.171
Apr 2025,13.06.2024,38.213
Mai 2025,13.06.2024,
Jun 2025,13.06.2024,37.279
Jun 2024,14.06.2024,34.932
Jul 2024,14.06.2024,35.471
Aug 2024,14.06.2024,35.816
Sep 2024,14.06.2024,36.612
Okt 2024,14.06.2024,37.761
Nov 2024,14.06.2024,40.022
Dez 2024,14.06.2024,40.786
Jan 2025,14.06.2024,40.927
Feb 2025,14.06.2024,40.849
Mar 2025,14.06.2024,39.739
Apr 2025,14.06.2024,38.036
Mai 2025,14.06.2024,
Jun 2025,14.06.2024,37.106
Jun 2024,17.06.2024,34.932
Jul 2024,17.06.2024,34.25
Aug 2024,17.06.2024,34.606
Sep 2024,17.06.2024,35.47
Okt 2024,17.06.2024,36.587
Nov 2024,17.06.2024,38.944
Dez 2024,17.06.2024,39.734
Jan 2025,17.06.2024,39.877
Feb 2025,17.06.2024,39.768
Mar 2025,17.06.2024,38.921
Apr 2025,17.06.2024,37.618
Mai 2025,17.06.2024,
Jun 2025,17.06.2024,36.508
Jun 2024,18.06.2024,34.932
Jul 2024,18.06.2024,34.715
Aug 2024,18.06.2024,35.102
Sep 2024,18.06.2024,35.93
Okt 2024,18.06.2024,37.035
Nov 2024,18.06.2024,39.423
Dez 2024,18.06.2024,40.2
Jan 2025,18.06.2024,40.57
Feb 2025,18.06.2024,40.335
Mar 2025,18.06.2024,39.356
Apr 2025,18.06.2024,38.023
Mai 2025,18.06.2024,
Jun 2025,18.06.2024,36.998
Jun 2024,19.06.2024,34.932
Jul 2024,19.06.2024,35.339
Aug 2024,19.06.2024,35.73
Sep 2024,19.06.2024,36.626
Okt 2024,19.06.2024,37.763
Nov 2024,19.06.2024,40.274
Dez 2024,19.06.2024,41.033
Jan 2025,19.06.2024,41.2
Feb 2025,19.06.2024,41.034
Mar 2025,19.06.2024,40.446
Apr 2025,19.06.2024,38.752
Mai 2025,19.06.2024,
Jun 2025,19.06.2024,37.88
Jun 2024,20.06.2024,34.932
Jul 2024,20.06.2024,34.502
Aug 2024,20.06.2024,34.915
